Release point #, Memory Utilization, # of blocks searched before releasing, Counts made before release, Memory request size of release
Release #0, 0.9758, 0.0, 0, 5943
Release #1, 0.7312, 4.0, 4, 8169
Release #2, 0.3783, 4.0, 4, 1177
Release #3, 0.3008, 4.0, 4, 344
Release #4, 0.6082, 0.0, 0, 7643
Release #5, 0.5618, 4.0, 4, 1858
Release #6, 0.4597, 4.0, 4, 1741
Release #7, 0.1831, 4.0, 4, 3786
Release #8, 0.8187, 0.0, 0, 3837
Release #9, 0.1984, 3.0, 3, 3583
Release #10, 0.0749, 2.0, 2, 2400
Release #11, 0.7433, 0.0, 0, 4440
Release #12, 0.4731, 3.0, 3, 5154
Release #13, 0.2472, 3.0, 3, 1130
Release #14, 0.7321, 0.0, 0, 7285
Release #15, 0.513, 2.0, 2, 6087
Release #16, 0.6846, 0.0, 0, 3967
Release #17, 0.5838, 2.0, 2, 1952
Release #18, 0.597, 0.0, 0, 7495
Release #19, 0.8106, 0.0, 0, 2206
Release #20, 0.776, 0.0, 0, 4315
Release #21, 0.6567, 3.0, 3, 2574
Release #22, 0.27, 3.0, 3, 4003
Release #23, 0.6214, 0.0, 0, 5453
Release #24, 0.5654, 2.0, 2, 2144
Release #25, 0.7282, 0.0, 0, 3137
Release #26, 0.6135, 3.0, 3, 1060
Release #27, 0.2367, 3.0, 3, 1640
Release #28, 0.7618, 0.0, 0, 4525
Release #29, 0.8844, 0.0, 0, 5040
Release #30, 0.5642, 2.0, 2, 2634
Release #31, 0.8939, 0.0, 0, 2309
Release #32, 0.5751, 3.0, 3, 3053
Release #33, 0.3562, 3.0, 3, 9125
Release #34, 0.6482, 0.0, 0, 8080
Release #35, 0.1429, 2.0, 2, 783
Release #36, 0.8933, 0.0, 0, 2226
Release #37, 0.5437, 0.0, 0, 4938
Release #38, 0.4043, 3.0, 3, 2067
Release #39, 0.9756, 0.0, 0, 5419
Release #40, 0.7534, 0.0, 0, 7754
Release #41, 0.4617, 2.0, 2, 1441
Release #42, 0.9298, 0.0, 0, 3868
Release #43, 0.5336, 4.0, 4, 1738
Release #44, 0.0586, 4.0, 4, 3299
Release #45, 0.033, 4.0, 4, 2836
Release #46, 0.8423, 0.0, 0, 5951
Release #47, 0.7527, 3.0, 3, 5282
Release #48, 0.4047, 3.0, 3, 1116
Release #49, 0.7645, 0.0, 0, 5658
Release #50, 0.2588, 2.0, 2, 4336
Release #51, 0.6048, 0.0, 0, 5838
