Release point #, Memory Utilization, # of blocks searched before releasing, Counts made before release, Memory request size of release
Release #52, 0.1776, 2.0, 2, 4631
Release #53, 0.9549, 0.0, 0, 5019
Release #54, 0.7381, 0.0, 0, 3646
Release #55, 0.2116, 3.0, 3, 2326
Release #56, 0.9811, 0.0, 0, 7433
Release #57, 0.955, 4.0, 4, 2298
Release #58, 0.8036, 4.0, 4, 1498
Release #59, 0.5539, 4.0, 4, 3156
Release #60, 0.4601, 0.0, 0, 7841
Release #61, 0.0531, 2.0, 2, 376
Release #62, 0.9361, 0.0, 0, 4769
Release #63, 0.8561, 0.0, 0, 4306
Release #64, 0.4488, 0.0, 0, 6091
Release #65, 0.2819, 4.0, 4, 1339
Release #66, 0.6829, 0.0, 0, 5104
Release #67, 0.1832, 2.0, 2, 2969
Release #68, 0.8579, 0.0, 0, 1561
Release #69, 0.8399, 0.0, 0, 3596
Release #70, 0.7964, 0.0, 0, 5972
Release #71, 0.6311, 4.0, 4, 6001
Release #72, 0.7593, 0.0, 0, 6628
Release #73, 0.056, 2.0, 2, 287
Release #74, 0.822, 0.0, 0, 7207
Release #75, 0.5943, 2.0, 2, 4170
Release #76, 0.8392, 0.0, 0, 2379
Release #77, 0.6726, 4.0, 4, 4527
Release #78, 0.3241, 4.0, 4, 5407
Release #79, 0.261, 3.0, 3, 2571
Release #80, 0.9637, 0.0, 0, 4421
Release #81, 0.6412, 5.0, 5, 5814
Release #82, 0.3666, 5.0, 5, 9402
Release #83, 0.1512, 5.0, 5, 4262
Release #84, 0.1498, 5.0, 5, 4393
Release #85, 0.9211, 0.0, 0, 3418
Release #86, 0.4923, 2.0, 2, 846
Release #87, 0.8139, 0.0, 0, 3745
Release #88, 0.5938, 2.0, 2, 2127
Release #89, 0.868, 0.0, 0, 7602
Release #90, 0.6099, 0.0, 0, 5446
Release #91, 0.2049, 0.0, 0, 1531
Release #92, 0.103, 4.0, 4, 3401
Release #93, 0.9304, 0.0, 0, 2121
Release #94, 0.6275, 4.0, 4, 4470
Release #95, 0.262, 3.0, 3, 1712
Release #96, 0.1352, 3.0, 3, 3221
Release #97, 0.3701, 0.0, 0, 7413
Release #98, 0.2269, 2.0, 2, 3173
Release #99, 0.7165, 0.0, 0, 7193
Release #100, 0.3738, 2.0, 2, 2476
Release #101, 0.6467, 0.0, 0, 6684
Release #102, 0.6719, 0.0, 0, 5773
Release #103, 0.7972, 0.0, 0, 4113
Release #104, 0.7077, 3.0, 3, 5878
Release #105, 0.3164, 3.0, 3, 1345
Release #106, 0.9969, 0.0, 0, 6884
Release #107, 0.5498, 2.0, 2, 1725
Release #108, 0.3357, 0.0, 0, 6903
Release #109, 0.9926, 0.0, 0, 2775
Release #110, 0.7852, 3.0, 3, 1929
Release #111, 0.4956, 3.0, 3, 3789
Release #112, 0.827, 0.0, 0, 2068
Release #113, 0.5386, 0.0, 0, 4849
Release #114, 0.061, 3.0, 3, 6516
Release #115, 0.9087, 0.0, 0, 3771
Release #116, 0.7381, 6.0, 6, 6647
Release #117, 0.6116, 6.0, 6, 5261
Release #118, 0.4164, 5.0, 5, 2983
Release #119, 0.1256, 5.0, 5, 1496
Release #120, 0.1151, 4.0, 4, 3325
Release #121, 0.786, 0.0, 0, 3107
Release #122, 0.4249, 2.0, 2, 4040
Release #123, 0.7496, 0.0, 0, 4021
Release #124, 0.6484, 3.0, 3, 1409
Release #125, 0.3869, 3.0, 3, 431
Release #126, 0.6751, 0.0, 0, 6281
Release #127, 0.3232, 2.0, 2, 990
Release #128, 0.4071, 0.0, 0, 8074
Release #129, 0.3306, 2.0, 2, 3835
Release #130, 0.9836, 0.0, 0, 4961
Release #131, 0.9748, 0.0, 0, 9016
Release #132, 0.4541, 0.0, 0, 4620
Release #133, 0.1895, 5.0, 5, 2392
Release #134, 0.1156, 5.0, 5, 4080
Release #135, 0.9855, 0.0, 0, 7132
Release #136, 0.946, 0.0, 0, 211
Release #137, 0.9118, 0.0, 0, 5326
Release #138, 0.8769, 0.0, 0, 2079
Release #139, 0.7958, 0.0, 0, 5526
Release #140, 0.592, 0.0, 0, 5132
Release #141, 0.1139, 8.0, 8, 443
Release #142, 0.061, 8.0, 8, 2660
Release #143, 0.9433, 0.0, 0, 6715
Release #144, 0.7124, 0.0, 0, 6245
Release #145, 0.1865, 3.0, 3, 3539
Release #146, 0.5945, 0.0, 0, 8035
Release #147, 0.5279, 2.0, 2, 723
Release #148, 0.4828, 0.0, 0, 5953
Release #149, 0.8575, 0.0, 0, 7552
Release #150, 0.5664, 3.0, 3, 2801
Release #151, 0.2899, 2.0, 2, 3057
Release #152, 0.9138, 0.0, 0, 1305
Release #153, 0.5189, 3.0, 3, 4397
Release #154, 0.2547, 3.0, 3, 443
Release #155, 0.7302, 0.0, 0, 6064
Release #156, 0.5798, 3.0, 3, 4673
Release #157, 0.347, 3.0, 3, 979
Release #158, 0.6754, 0.0, 0, 6481
Release #159, 0.4237, 3.0, 3, 4446
Release #160, 0.0672, 3.0, 3, 5566
Release #161, 0.7757, 0.0, 0, 5625
Release #162, 0.5321, 2.0, 2, 2468
Release #163, 0.9585, 0.0, 0, 6624
Release #164, 0.6739, 0.0, 0, 546
Release #165, 0.3919, 4.0, 4, 4760
Release #166, 0.1233, 4.0, 4, 5233
Release #167, 0.9469, 0.0, 0, 2710
Release #168, 0.5119, 0.0, 0, 5715
Release #169, 0.2209, 4.0, 4, 6344
Release #170, 0.1994, 4.0, 4, 5697
Release #171, 0.7247, 0.0, 0, 6409
Release #172, 0.7004, 0.0, 0, 2943
Release #173, 0.4195, 3.0, 3, 211
Release #174, 0.9304, 0.0, 0, 988
Release #175, 0.7156, 6.0, 6, 1660
Release #176, 0.6996, 6.0, 6, 3028
Release #177, 0.4276, 6.0, 6, 1933
Release #178, 0.3871, 5.0, 5, 5076
Release #179, 0.1455, 5.0, 5, 557
Release #180, 0.9977, 0.0, 0, 3267
Release #181, 0.7083, 2.0, 2, 163
Release #182, 0.9808, 0.0, 0, 1473
Release #183, 0.6645, 0.0, 0, 2690
Release #184, 0.5305, 3.0, 3, 7395
Release #185, 0.3887, 0.0, 0, 6941
Release #186, 0.4683, 0.0, 0, 5398
Release #187, 0.6752, 0.0, 0, 8517
Release #188, 0.3831, 3.0, 3, 3946
Release #189, 0.0623, 2.0, 2, 4962
Release #190, 0.6922, 0.0, 0, 5870
Release #191, 0.6922, 0.0, 0, 3245
Release #192, 0.507, 3.0, 3, 2668
Release #193, 0.1149, 3.0, 3, 4647
Release #194, 0.4898, 0.0, 0, 6706
Release #195, 0.3471, 2.0, 2, 716
Release #196, 0.8237, 0.0, 0, 3172
Release #197, 0.1944, 2.0, 2, 4944
Release #198, 0.4377, 0.0, 0, 6269
Release #199, 0.5153, 0.0, 0, 6565
Release #200, 0.4406, 2.0, 2, 2730
Release #201, 0.8092, 0.0, 0, 5375
Release #202, 0.1859, 2.0, 2, 3433
Release #203, 0.8053, 0.0, 0, 2731
Release #204, 0.8046, 2.0, 2, 8273
Release #205, 0.9857, 0.0, 0, 3004
Release #206, 0.5848, 4.0, 4, 5062
Release #207, 0.5761, 4.0, 4, 739
Release #208, 0.0162, 4.0, 4, 6095
Release #209, 0.605, 0.0, 0, 4469
Release #210, 0.7949, 0.0, 0, 3113
Release #211, 0.5128, 0.0, 0, 2583
Release #212, 0.4425, 6.0, 6, 670
Release #213, 0.2418, 6.0, 6, 685
Release #214, 0.0816, 6.0, 6, 5234
Release #215, 0.9139, 0.0, 0, 5102
Release #216, 0.8167, 3.0, 3, 3192
Release #217, 0.4157, 2.0, 2, 1477
Release #218, 0.8804, 0.0, 0, 5358
Release #219, 0.6578, 2.0, 2, 2841
Release #220, 0.7212, 0.0, 0, 3971
Release #221, 0.305, 2.0, 2, 2925
Release #222, 0.7101, 0.0, 0, 5022
Release #223, 0.6218, 5.0, 5, 1341
Release #224, 0.4274, 5.0, 5, 484
Release #225, 0.3702, 5.0, 5, 1886
Release #226, 0.1697, 5.0, 5, 8723
Release #227, 0.6744, 0.0, 0, 6582
Release #228, 0.4202, 2.0, 2, 6359
Release #229, 0.6303, 0.0, 0, 4682
Release #230, 0.7656, 0.0, 0, 6233
Release #231, 0.3232, 4.0, 4, 6880
Release #232, 0.303, 4.0, 4, 7898
Release #233, 0.2083, 4.0, 4, 5483
Release #234, 0.8957, 0.0, 0, 2254
Release #235, 0.712, 3.0, 3, 5164
Release #236, 0.4789, 3.0, 3, 7907
Release #237, 0.8936, 0.0, 0, 4699
Release #238, 0.7654, 0.0, 0, 4796
Release #239, 0.6357, 4.0, 4, 3046
Release #240, 0.3647, 4.0, 4, 677
Release #241, 0.5282, 0.0, 0, 6569
Release #242, 0.059, 2.0, 2, 1607
Release #243, 0.9632, 0.0, 0, 2078
Release #244, 0.9494, 0.0, 0, 4751
Release #245, 0.6414, 2.0, 2, 1435
Release #246, 0.7642, 0.0, 0, 3193
Release #247, 0.6892, 0.0, 0, 2365
Release #248, 0.1939, 3.0, 3, 2175
Release #249, 0.8301, 0.0, 0, 6012
Release #250, 0.5944, 3.0, 3, 5888
Release #251, 0.3288, 3.0, 3, 1592
Release #252, 0.8789, 0.0, 0, 6069
Release #253, 0.5613, 3.0, 3, 4452
Release #254, 0.3787, 3.0, 3, 3349
Release #255, 0.4772, 0.0, 0, 6078
Release #256, 0.7116, 0.0, 0, 4877
Release #257, 0.5958, 5.0, 5, 4794
Release #258, 0.2701, 5.0, 5, 2844
Release #259, 0.0395, 5.0, 5, 3384
Release #260, 0.9682, 0.0, 0, 2469
Release #261, 0.8756, 0.0, 0, 4598
Release #262, 0.6071, 0.0, 0, 5720
Release #263, 0.2618, 5.0, 5, 5352
Release #264, 0.1097, 5.0, 5, 3033
Release #265, 0.9948, 0.0, 0, 7082
Release #266, 0.7685, 2.0, 2, 4534
Release #267, 0.8298, 0.0, 0, 7251
Release #268, 0.5409, 2.0, 2, 4488
Release #269, 0.8953, 0.0, 0, 2486
Release #270, 0.2903, 0.0, 0, 3376
Release #271, 0.117, 3.0, 3, 6481
Release #272, 0.4864, 0.0, 0, 7134
Release #273, 0.9002, 0.0, 0, 4904
Release #274, 0.6518, 3.0, 3, 1635
Release #275, 0.3242, 3.0, 3, 1284
Release #276, 0.9177, 0.0, 0, 2140
Release #277, 0.8481, 3.0, 3, 4529
Release #278, 0.5006, 3.0, 3, 1408
Release #279, 0.7783, 0.0, 0, 6333
Release #280, 0.2706, 3.0, 3, 84
Release #281, 0.0323, 3.0, 3, 4524
Release #282, 0.8359, 0.0, 0, 2366
Release #283, 0.5234, 2.0, 2, 1328
Release #284, 0.5587, 0.0, 0, 5857
Release #285, 0.2153, 3.0, 3, 15
Release #286, 0.0683, 3.0, 3, 3885
Release #287, 0.668, 0.0, 0, 4638
Release #288, 0.3347, 2.0, 2, 2463
Release #289, 0.6214, 0.0, 0, 5642
Release #290, 0.4725, 0.0, 0, 9713
Release #291, 0.0564, 3.0, 3, 6930
Release #292, 0.4479, 0.0, 0, 6359
Release #293, 0.2746, 2.0, 2, 1840
Release #294, 0.2794, 0.0, 0, 7969
Release #295, 0.0304, 2.0, 2, 3272
Release #296, 0.9873, 0.0, 0, 3347
Release #297, 0.838, 0.0, 0, 9538
Release #298, 0.5007, 0.0, 0, 582
Release #299, 0.2373, 4.0, 4, 734
Release #300, 0.9225, 0.0, 0, 2514
Release #301, 0.7062, 3.0, 3, 4976
Release #302, 0.2852, 3.0, 3, 4503
Release #303, 0.8211, 0.0, 0, 4982
Release #304, 0.4064, 2.0, 2, 3211
Release #305, 0.7239, 0.0, 0, 3964
Release #306, 0.9343, 0.0, 0, 1356
Release #307, 0.6459, 4.0, 4, 3800
Release #308, 0.5283, 4.0, 4, 7046
Release #309, 0.2297, 4.0, 4, 5718
Release #310, 0.6461, 0.0, 0, 6817
Release #311, 0.143, 2.0, 2, 1921
Release #312, 0.7922, 0.0, 0, 6039
Release #313, 0.7274, 3.0, 3, 7092
Release #314, 0.4573, 3.0, 3, 494
Release #315, 0.8438, 0.0, 0, 6841
Release #316, 0.2678, 2.0, 2, 6503
Release #317, 0.3601, 0.0, 0, 7119
Release #318, 0.2256, 2.0, 2, 5195
Release #319, 0.8831, 0.0, 0, 2469
Release #320, 0.5105, 0.0, 0, 5506
Release #321, 0.3389, 0.0, 0, 706
Release #322, 0.332, 5.0, 5, 1205
Release #323, 0.078, 5.0, 5, 8041
Release #324, 0.5198, 0.0, 0, 5451
Release #325, 0.3281, 2.0, 2, 3158
Release #326, 0.5662, 0.0, 0, 5740
Release #327, 0.9318, 0.0, 0, 1876
Release #328, 0.6955, 2.0, 2, 2433
Release #329, 0.6824, 0.0, 0, 5525
Release #330, 0.0909, 2.0, 2, 3402
Release #331, 0.8656, 0.0, 0, 5501
Release #332, 0.3954, 2.0, 2, 6127
Release #333, 0.6548, 0.0, 0, 8966
Release #334, 0.3123, 4.0, 4, 2174
Release #335, 0.2347, 3.0, 3, 6140
Release #336, 0.1997, 3.0, 3, 4528
Release #337, 0.6251, 0.0, 0, 7212
Release #338, 0.9002, 0.0, 0, 3967
Release #339, 0.72, 0.0, 0, 3343
Release #340, 0.7189, 4.0, 4, 2346
Release #341, 0.5648, 4.0, 4, 3531
Release #342, 0.9776, 0.0, 0, 5601
Release #343, 0.4075, 3.0, 3, 730
Release #344, 0.0906, 2.0, 2, 5647
Release #345, 0.9498, 0.0, 0, 9469
Release #346, 0.4878, 4.0, 4, 4892
Release #347, 0.4778, 4.0, 4, 3007
Release #348, 0.137, 4.0, 4, 4538
Release #349, 0.6438, 0.0, 0, 5092
Release #350, 0.2619, 2.0, 2, 1821
Release #351, 0.7206, 0.0, 0, 5518
Release #352, 0.994, 0.0, 0, 4447
Release #353, 0.8229, 0.0, 0, 428
Release #354, 0.2091, 4.0, 4, 2156
Release #355, 0.1546, 3.0, 3, 1553
Release #356, 0.6208, 0.0, 0, 6107
Release #357, 0.4894, 2.0, 2, 509
Release #358, 0.776, 0.0, 0, 4773
Release #359, 0.5976, 2.0, 2, 856
Release #360, 0.9363, 0.0, 0, 3314
Release #361, 0.9349, 6.0, 6, 4316
Release #362, 0.8076, 6.0, 6, 4576
Release #363, 0.6876, 6.0, 6, 2712
Release #364, 0.3814, 6.0, 6, 2399
Release #365, 0.2926, 5.0, 5, 4614
Release #366, 0.7355, 0.0, 0, 3205
Release #367, 0.7436, 0.0, 0, 4530
Release #368, 0.4537, 3.0, 3, 1134
Release #369, 0.2578, 3.0, 3, 1061
Release #370, 0.9314, 0.0, 0, 4265
Release #371, 0.8, 7.0, 7, 5389
Release #372, 0.7135, 7.0, 7, 1101
Release #373, 0.3492, 7.0, 7, 2650
Release #374, 0.2267, 6.0, 6, 395
Release #375, 0.1258, 5.0, 5, 3320
Release #376, 0.1046, 5.0, 5, 1708
Release #377, 0.961, 0.0, 0, 4823
Release #378, 0.7768, 0.0, 0, 1437
Release #379, 0.6665, 4.0, 4, 1205
Release #380, 0.5805, 4.0, 4, 4717
Release #381, 0.779, 0.0, 0, 4688
Release #382, 0.2444, 2.0, 2, 4778
Release #383, 0.9722, 0.0, 0, 3021
Release #384, 0.4323, 2.0, 2, 6278
Release #385, 0.5644, 0.0, 0, 9417
Release #386, 0.3892, 2.0, 2, 5144
Release #387, 0.7495, 0.0, 0, 6739
Release #388, 0.162, 2.0, 2, 3254
Release #389, 0.8884, 0.0, 0, 4048
Release #390, 0.5116, 0.0, 0, 1218
Release #391, 0.3739, 0.0, 0, 4540
Release #392, 0.2189, 4.0, 4, 4377
Release #393, 0.7368, 0.0, 0, 5956
Release #394, 0.4083, 2.0, 2, 2882
Release #395, 0.9944, 0.0, 0, 9117
Release #396, 0.964, 0.0, 0, 3768
Release #397, 0.3525, 3.0, 3, 7746
Release #398, 0.9087, 0.0, 0, 2133
Release #399, 0.6942, 0.0, 0, 6815
Release #400, 0.0991, 3.0, 3, 4357
Release #401, 0.5797, 0.0, 0, 4490
Release #402, 0.234, 0.0, 0, 6367
Release #403, 0.1556, 3.0, 3, 1110
Release #404, 0.4146, 0.0, 0, 9928
Release #405, 0.8014, 0.0, 0, 2707
Release #406, 0.2481, 2.0, 2, 1208
Release #407, 0.6319, 0.0, 0, 3974
Release #408, 0.2595, 2.0, 2, 5393
Release #409, 0.4164, 0.0, 0, 8389
Release #410, 0.1263, 2.0, 2, 81
Release #411, 0.9337, 0.0, 0, 6164
Release #412, 0.5685, 0.0, 0, 971
Release #413, 0.1305, 3.0, 3, 7712
Release #414, 0.7422, 0.0, 0, 4297
Release #415, 0.9547, 0.0, 0, 3941
Release #416, 0.8384, 0.0, 0, 1208
Release #417, 0.4641, 4.0, 4, 7115
Release #418, 0.1709, 4.0, 4, 6058
Release #419, 0.8993, 0.0, 0, 3060
Release #420, 0.8103, 4.0, 4, 3009
Release #421, 0.5601, 4.0, 4, 2905
Release #422, 0.0774, 4.0, 4, 4880
Release #423, 0.5475, 0.0, 0, 4533
Release #424, 0.7036, 0.0, 0, 4451
Release #425, 0.7803, 0.0, 0, 4187
Release #426, 0.4886, 3.0, 3, 3343
Release #427, 0.2891, 3.0, 3, 976
Release #428, 0.3764, 0.0, 0, 8430
Release #429, 0.3581, 0.0, 0, 5274
Release #430, 0.3131, 4.0, 4, 1781
Release #431, 0.3109, 4.0, 4, 1219
Release #432, 0.9249, 0.0, 0, 5406
Release #433, 0.5041, 2.0, 2, 3554
Release #434, 0.7726, 0.0, 0, 7004
Release #435, 0.9206, 0.0, 0, 1782
Release #436, 0.7726, 0.0, 0, 4098
Release #437, 0.5988, 5.0, 5, 1175
Release #438, 0.3992, 5.0, 5, 2093
Release #439, 0.4644, 0.0, 0, 8295
Release #440, 0.259, 2.0, 2, 3486
Release #441, 0.9173, 0.0, 0, 7561
Release #442, 0.6294, 2.0, 2, 2804
Release #443, 0.6894, 0.0, 0, 4148
Release #444, 0.5104, 3.0, 3, 3002
Release #445, 0.1754, 2.0, 2, 2664
Release #446, 0.5968, 0.0, 0, 4261
Release #447, 0.6968, 0.0, 0, 3471
Release #448, 0.443, 5.0, 5, 968
Release #449, 0.4078, 5.0, 5, 8702
Release #450, 0.3121, 5.0, 5, 6343
Release #451, 0.4662, 0.0, 0, 7173
Release #452, 0.3257, 0.0, 0, 6814
Release #453, 0.6512, 0.0, 0, 6821
Release #454, 0.2925, 2.0, 2, 8334
Release #455, 0.9272, 0.0, 0, 6501
Release #456, 0.4762, 0.0, 0, 4547
Release #457, 0.3102, 3.0, 3, 6439
Release #458, 0.8378, 0.0, 0, 5375
Release #459, 0.6448, 6.0, 6, 1732
Release #460, 0.5067, 6.0, 6, 2562
Release #461, 0.4734, 6.0, 6, 2130
Release #462, 0.2968, 6.0, 6, 1786
Release #463, 0.169, 6.0, 6, 1547
Release #464, 0.7197, 0.0, 0, 5972
Release #465, 0.6989, 3.0, 3, 2604
Release #466, 0.4456, 3.0, 3, 1189
Release #467, 0.3867, 0.0, 0, 6138
Release #468, 0.3224, 2.0, 2, 930
Release #469, 0.4943, 0.0, 0, 5434
Release #470, 0.7424, 0.0, 0, 6490
Release #471, 0.4202, 2.0, 2, 1371
Release #472, 0.4586, 0.0, 0, 7542
Release #473, 0.8685, 0.0, 0, 7002
Release #474, 0.2217, 3.0, 3, 654
Release #475, 0.0352, 3.0, 3, 7126
Release #476, 0.9695, 0.0, 0, 808
Release #477, 0.6175, 3.0, 3, 2153
Release #478, 0.2069, 3.0, 3, 2954
Release #479, 0.7709, 0.0, 0, 3881
Release #480, 0.7247, 4.0, 4, 4780
Release #481, 0.551, 4.0, 4, 463
Release #482, 0.2764, 4.0, 4, 4718
Release #483, 0.9256, 0.0, 0, 3373
Release #484, 0.5574, 0.0, 0, 3563
Release #485, 0.4581, 5.0, 5, 8823
Release #486, 0.3828, 5.0, 5, 262
Release #487, 0.1362, 5.0, 5, 3124
Release #488, 0.5293, 0.0, 0, 9520
Release #489, 0.3492, 2.0, 2, 1006
Release #490, 0.7844, 0.0, 0, 5719
Release #491, 0.7617, 4.0, 4, 3120
Release #492, 0.2943, 4.0, 4, 3129
Release #493, 0.2182, 4.0, 4, 1507
Release #494, 0.7615, 0.0, 0, 7338
Release #495, 0.7226, 4.0, 4, 1918
Release #496, 0.4647, 4.0, 4, 3752
Release #497, 0.4467, 4.0, 4, 6542
Release #498, 0.8227, 0.0, 0, 3838
Release #499, 0.7626, 0.0, 0, 6231
