Release point #, Memory Utilization, # of blocks searched before releasing, Counts made before release, Memory request size of release
Release #137, 0.0, 0.0, 0, 9996
Release #138, 0.6622, 0.0, 0, 8861
Release #139, 0.822, 0.0, 0, 4939
Release #140, 0.617, 0.0, 0, 6918
Release #141, 0.6945, 0.0, 0, 5966
Release #142, 0.8699, 0.0, 0, 9572
Release #143, 0.168, 2.0, 2, 1973
Release #144, 0.9224, 0.0, 0, 5551
Release #145, 0.672, 0.0, 0, 9412
Release #146, 0.6704, 0.0, 0, 5932
Release #147, 0.7411, 0.0, 0, 7145
Release #148, 0.5827, 0.0, 0, 8174
Release #149, 0.6662, 0.0, 0, 5569
Release #150, 0.673, 0.0, 0, 7065
Release #151, 0.7733, 0.0, 0, 7073
Release #152, 0.9905, 0.0, 0, 8003
Release #153, 0.6416, 0.0, 0, 9812
Release #154, 0.5488, 0.0, 0, 6185
Release #155, 0.9233, 0.0, 0, 8139
Release #156, 0.8326, 0.0, 0, 6906
Release #157, 0.8499, 0.0, 0, 5790
Release #158, 0.5687, 0.0, 0, 8488
Release #159, 0.8996, 0.0, 0, 8679
Release #160, 0.8725, 0.0, 0, 9465
Release #161, 0.6564, 2.0, 2, 3328
Release #162, 0.4568, 0.0, 0, 5740
Release #163, 0.7499, 0.0, 0, 8065
Release #164, 0.501, 0.0, 0, 6643
Release #165, 0.3625, 2.0, 2, 5957
Release #166, 0.8233, 0.0, 0, 3016
Release #167, 0.401, 0.0, 0, 8550
Release #168, 0.5231, 0.0, 0, 7422
Release #169, 0.8007, 0.0, 0, 4708
Release #170, 0.5847, 0.0, 0, 6173
Release #171, 0.9163, 0.0, 0, 7592
Release #172, 0.2974, 0.0, 0, 7786
Release #173, 0.827, 0.0, 0, 7366
Release #174, 0.7232, 0.0, 0, 9050
Release #175, 0.8492, 0.0, 0, 9717
Release #176, 0.6399, 0.0, 0, 6355
Release #177, 0.9681, 0.0, 0, 6201
Release #178, 0.5971, 0.0, 0, 4783
Release #179, 0.9133, 0.0, 0, 6225
Release #180, 0.9121, 0.0, 0, 6014
Release #181, 0.8887, 0.0, 0, 9437
Release #182, 0.8259, 2.0, 2, 9281
