Release point #, Memory Utilization, # of blocks searched before releasing, Counts made before release, Memory request size of release
Release #89, 0.7367, 3.0, 3, 4301
Release #90, 0.4247, 3.0, 3, 6114
Release #91, 0.7943, 0.0, 0, 7984
Release #92, 0.9455, 0.0, 0, 7231
Release #93, 0.5416, 2.0, 2, 4889
Release #94, 0.9408, 0.0, 0, 4840
Release #95, 0.4751, 0.0, 0, 3949
Release #96, 0.2059, 3.0, 3, 4835
Release #97, 0.789, 0.0, 0, 5491
Release #98, 0.3523, 2.0, 2, 5397
Release #99, 0.6723, 0.0, 0, 3963
Release #100, 0.2683, 2.0, 2, 834
Release #101, 0.7968, 0.0, 0, 5100
Release #102, 0.7695, 2.0, 2, 2399
Release #103, 0.9843, 0.0, 0, 5651
Release #104, 0.4478, 2.0, 2, 6848
Release #105, 0.7377, 0.0, 0, 3785
Release #106, 0.4219, 0.0, 0, 8638
Release #107, 0.1758, 3.0, 3, 6271
Release #108, 0.6818, 0.0, 0, 5371
Release #109, 0.3932, 2.0, 2, 4838
Release #110, 0.8473, 0.0, 0, 9409
Release #111, 0.9424, 0.0, 0, 2697
Release #112, 0.0777, 0.0, 0, 9806
Release #113, 0.8423, 0.0, 0, 1679
Release #114, 0.6794, 0.0, 0, 8225
Release #115, 0.2781, 2.0, 2, 6707
Release #116, 0.8968, 0.0, 0, 5002
Release #117, 0.4389, 2.0, 2, 1011
Release #118, 0.6824, 0.0, 0, 8927
Release #119, 0.401, 0.0, 0, 9406
Release #120, 0.5611, 0.0, 0, 5382
Release #121, 0.6148, 0.0, 0, 6299
Release #122, 0.7212, 0.0, 0, 6162
Release #123, 0.4559, 0.0, 0, 9304
Release #124, 0.6655, 0.0, 0, 6035
Release #125, 0.5691, 0.0, 0, 6812
Release #126, 0.922, 0.0, 0, 6682
Release #127, 0.6844, 3.0, 3, 7903
Release #128, 8.0E-4, 3.0, 3, 7000
Release #129, 0.7195, 0.0, 0, 8274
Release #130, 0.511, 2.0, 2, 7983
Release #131, 0.9161, 0.0, 0, 9429
Release #132, 0.6134, 0.0, 0, 4895
Release #133, 0.0044, 2.0, 2, 4445
Release #134, 0.8444, 0.0, 0, 8509
Release #135, 0.4678, 0.0, 0, 9321
Release #136, 0.687, 0.0, 0, 5745
Release #137, 0.664, 0.0, 0, 8007
Release #138, 0.6426, 4.0, 4, 6712
Release #139, 0.2501, 4.0, 4, 696
Release #140, 0.8626, 0.0, 0, 7366
Release #141, 0.6675, 0.0, 0, 3978
Release #142, 0.8768, 0.0, 0, 7388
Release #143, 0.4893, 0.0, 0, 6210
Release #144, 0.9492, 0.0, 0, 731
Release #145, 0.5283, 3.0, 3, 8257
Release #146, 0.0228, 2.0, 2, 6311
Release #147, 0.7864, 0.0, 0, 8390
Release #148, 0.6623, 3.0, 3, 6842
Release #149, 0.634, 3.0, 3, 1570
Release #150, 0.7906, 0.0, 0, 2599
Release #151, 0.709, 0.0, 0, 3010
Release #152, 0.3239, 3.0, 3, 5626
Release #153, 0.9466, 0.0, 0, 6400
Release #154, 0.8299, 0.0, 0, 1750
Release #155, 0.4457, 2.0, 2, 199
Release #156, 0.8122, 0.0, 0, 6373
Release #157, 0.7096, 3.0, 3, 5002
Release #158, 0.4124, 3.0, 3, 1907
Release #159, 0.5204, 0.0, 0, 5432
Release #160, 0.6326, 0.0, 0, 5685
Release #161, 0.3341, 2.0, 2, 1800
Release #162, 0.8552, 0.0, 0, 5411
Release #163, 0.5459, 2.0, 2, 2951
Release #164, 0.8528, 0.0, 0, 3846
Release #165, 0.594, 2.0, 2, 5430
Release #166, 0.6931, 0.0, 0, 5988
Release #167, 0.5109, 2.0, 2, 5490
Release #168, 0.6756, 0.0, 0, 5918
Release #169, 0.2188, 2.0, 2, 2607
Release #170, 0.829, 0.0, 0, 3644
Release #171, 0.2039, 2.0, 2, 5448
Release #172, 0.9431, 0.0, 0, 8909
Release #173, 0.2889, 2.0, 2, 7913
Release #174, 0.7894, 0.0, 0, 4271
Release #175, 0.8515, 0.0, 0, 7103
Release #176, 0.335, 2.0, 2, 1211
Release #177, 0.6107, 0.0, 0, 4893
Release #178, 0.4605, 0.0, 0, 8987
Release #179, 0.1361, 2.0, 2, 4318
Release #180, 0.7928, 0.0, 0, 3766
Release #181, 0.3132, 2.0, 2, 5706
Release #182, 0.151, 0.0, 0, 9113
Release #183, 0.7325, 0.0, 0, 4210
Release #184, 0.4498, 3.0, 3, 3250
Release #185, 0.2115, 3.0, 3, 953
Release #186, 0.3714, 0.0, 0, 7969
Release #187, 0.738, 0.0, 0, 5545
Release #188, 0.4155, 0.0, 0, 9430
Release #189, 0.6841, 0.0, 0, 7157
Release #190, 0.2638, 0.0, 0, 7587
Release #191, 0.5149, 0.0, 0, 5273
Release #192, 0.382, 2.0, 2, 2847
Release #193, 0.555, 0.0, 0, 6759
Release #194, 0.9127, 0.0, 0, 4733
Release #195, 0.5108, 4.0, 4, 4234
Release #196, 0.3587, 4.0, 4, 4347
Release #197, 0.3161, 4.0, 4, 7352
Release #198, 0.4078, 0.0, 0, 8831
Release #199, 0.8293, 0.0, 0, 4201
Release #200, 0.6994, 0.0, 0, 4282
Release #201, 0.63, 0.0, 0, 9033
Release #202, 0.7779, 0.0, 0, 7113
Release #203, 0.7997, 0.0, 0, 5724
Release #204, 0.5002, 2.0, 2, 3715
Release #205, 0.6688, 0.0, 0, 4666
Release #206, 0.2338, 2.0, 2, 5190
Release #207, 0.7979, 0.0, 0, 7138
Release #208, 0.716, 4.0, 4, 2949
Release #209, 0.5023, 3.0, 3, 3045
Release #210, 0.379, 3.0, 3, 3785
Release #211, 0.5046, 0.0, 0, 9348
Release #212, 0.8651, 0.0, 0, 4533
Release #213, 0.6376, 2.0, 2, 3413
Release #214, 0.5792, 0.0, 0, 7642
Release #215, 0.4812, 0.0, 0, 5630
Release #216, 0.6353, 0.0, 0, 4292
Release #217, 0.4404, 2.0, 2, 5611
Release #218, 0.3505, 0.0, 0, 6656
Release #219, 0.7656, 0.0, 0, 5385
Release #220, 0.7148, 0.0, 0, 7988
Release #221, 0.5349, 0.0, 0, 7742
Release #222, 0.2641, 4.0, 4, 3148
Release #223, 0.8742, 0.0, 0, 4239
Release #224, 0.4675, 0.0, 0, 5433
Release #225, 0.8473, 0.0, 0, 8414
Release #226, 0.1619, 2.0, 2, 7971
Release #227, 0.8758, 0.0, 0, 7819
Release #228, 0.5487, 3.0, 3, 3782
Release #229, 0.2036, 3.0, 3, 2743
Release #230, 0.7783, 0.0, 0, 3131
Release #231, 0.6609, 2.0, 2, 2881
Release #232, 0.9646, 0.0, 0, 7192
Release #233, 0.6315, 2.0, 2, 6465
Release #234, 0.9939, 0.0, 0, 7544
Release #235, 0.4036, 2.0, 2, 7615
Release #236, 0.8847, 0.0, 0, 9280
Release #237, 0.7623, 0.0, 0, 3984
Release #238, 0.3478, 2.0, 2, 4505
Release #239, 0.9047, 0.0, 0, 2085
Release #240, 0.8898, 0.0, 0, 9107
Release #241, 0.549, 2.0, 2, 7891
Release #242, 0.9894, 0.0, 0, 4011
Release #243, 0.9814, 0.0, 0, 6573
Release #244, 0.447, 2.0, 2, 3750
Release #245, 0.5487, 0.0, 0, 7343
Release #246, 0.3434, 0.0, 0, 8637
Release #247, 0.1877, 2.0, 2, 1586
Release #248, 0.2933, 0.0, 0, 8719
Release #249, 0.1941, 3.0, 3, 760
Release #250, 0.0538, 3.0, 3, 5658
Release #251, 0.6398, 0.0, 0, 4268
Release #252, 0.4049, 0.0, 0, 6368
Release #253, 0.6762, 0.0, 0, 4959
Release #254, 0.3516, 2.0, 2, 1055
Release #255, 0.6558, 0.0, 0, 5510
Release #256, 0.8168, 0.0, 0, 6648
Release #257, 0.4765, 2.0, 2, 4333
Release #258, 0.8637, 0.0, 0, 3402
Release #259, 0.6822, 0.0, 0, 3793
Release #260, 0.9511, 0.0, 0, 845
Release #261, 0.7462, 2.0, 2, 4205
Release #262, 0.92, 0.0, 0, 2401
Release #263, 0.2596, 2.0, 2, 6802
Release #264, 0.8886, 0.0, 0, 2176
Release #265, 0.3792, 0.0, 0, 6250
Release #266, 0.5276, 0.0, 0, 7622
Release #267, 0.9013, 0.0, 0, 3398
Release #268, 0.4881, 3.0, 3, 3221
Release #269, 0.4819, 2.0, 2, 7027
Release #270, 0.7113, 0.0, 0, 6467
Release #271, 0.9926, 0.0, 0, 5077
Release #272, 0.7095, 3.0, 3, 3930
Release #273, 0.2536, 3.0, 3, 3720
Release #274, 0.7918, 0.0, 0, 4949
Release #275, 0.4998, 3.0, 3, 6790
Release #276, 0.019, 3.0, 3, 3521
Release #277, 0.5353, 0.0, 0, 8458
Release #278, 0.091, 2.0, 2, 5242
Release #279, 0.8276, 0.0, 0, 3653
Release #280, 0.3519, 3.0, 3, 8015
Release #281, 0.291, 3.0, 3, 5251
Release #282, 0.7562, 0.0, 0, 2471
Release #283, 0.4462, 2.0, 2, 9605
Release #284, 0.8437, 0.0, 0, 3888
Release #285, 0.8759, 0.0, 0, 3503
Release #286, 0.7299, 0.0, 0, 8975
Release #287, 0.8329, 0.0, 0, 4037
Release #288, 0.4746, 3.0, 3, 7036
Release #289, 0.2551, 3.0, 3, 8779
Release #290, 0.8224, 0.0, 0, 4152
Release #291, 0.2358, 2.0, 2, 3319
Release #292, 0.7524, 0.0, 0, 6493
Release #293, 0.3649, 2.0, 2, 9294
Release #294, 0.2631, 0.0, 0, 8936
Release #295, 0.4694, 0.0, 0, 8350
Release #296, 0.6512, 0.0, 0, 5827
Release #297, 0.4576, 0.0, 0, 8053
Release #298, 0.9831, 0.0, 0, 2364
Release #299, 0.7317, 0.0, 0, 6336
Release #300, 0.6567, 3.0, 3, 6897
Release #301, 0.6562, 0.0, 0, 6362
Release #302, 0.5857, 2.0, 2, 386
Release #303, 0.8281, 0.0, 0, 2869
Release #304, 0.8064, 0.0, 0, 5099
Release #305, 0.851, 0.0, 0, 5405
Release #306, 0.8003, 0.0, 0, 2117
Release #307, 0.6823, 0.0, 0, 5574
Release #308, 0.5923, 0.0, 0, 5154
Release #309, 0.368, 2.0, 2, 9586
Release #310, 0.5408, 0.0, 0, 6826
Release #311, 0.9593, 0.0, 0, 6935
Release #312, 0.2401, 2.0, 2, 3856
Release #313, 0.9779, 0.0, 0, 3173
Release #314, 0.548, 2.0, 2, 9433
Release #315, 0.8475, 0.0, 0, 2425
Release #316, 0.4043, 2.0, 2, 8944
Release #317, 0.5742, 0.0, 0, 8951
Release #318, 0.2216, 2.0, 2, 8222
Release #319, 0.8874, 0.0, 0, 4145
Release #320, 0.139, 2.0, 2, 4709
Release #321, 0.7283, 0.0, 0, 7334
Release #322, 0.2725, 2.0, 2, 2867
Release #323, 0.9366, 0.0, 0, 6446
Release #324, 0.9016, 3.0, 3, 9050
Release #325, 0.3771, 3.0, 3, 3311
Release #326, 0.4189, 0.0, 0, 6923
Release #327, 0.4079, 0.0, 0, 8832
Release #328, 0.6434, 0.0, 0, 5123
Release #329, 0.5595, 2.0, 2, 5158
Release #330, 0.6304, 0.0, 0, 9502
Release #331, 0.7959, 0.0, 0, 6089
Release #332, 0.8412, 0.0, 0, 4412
Release #333, 0.4381, 2.0, 2, 5885
Release #334, 0.9617, 0.0, 0, 6025
Release #335, 0.4263, 2.0, 2, 7111
Release #336, 0.29, 0.0, 0, 9438
Release #337, 0.9716, 0.0, 0, 5224
Release #338, 0.1795, 2.0, 2, 4913
Release #339, 0.6067, 0.0, 0, 8975
Release #340, 0.9209, 0.0, 0, 4445
Release #341, 0.5494, 0.0, 0, 7764
Release #342, 0.4782, 2.0, 2, 5361
Release #343, 0.832, 0.0, 0, 5931
Release #344, 0.482, 2.0, 2, 2829
Release #345, 0.7752, 0.0, 0, 8231
Release #346, 0.6218, 0.0, 0, 8369
Release #347, 0.1292, 3.0, 3, 7182
Release #348, 0.5032, 0.0, 0, 4964
Release #349, 0.3598, 2.0, 2, 2799
Release #350, 0.3433, 0.0, 0, 7840
Release #351, 0.4645, 0.0, 0, 7830
Release #352, 0.4253, 0.0, 0, 6775
Release #353, 0.3319, 2.0, 2, 4162
Release #354, 0.8448, 0.0, 0, 5194
Release #355, 0.7179, 0.0, 0, 8682
Release #356, 0.9675, 0.0, 0, 4254
Release #357, 0.9616, 0.0, 0, 5046
Release #358, 0.576, 3.0, 3, 4074
Release #359, 0.3445, 3.0, 3, 6116
Release #360, 0.7001, 0.0, 0, 4954
Release #361, 0.5115, 2.0, 2, 4083
Release #362, 0.6229, 0.0, 0, 7407
Release #363, 0.3495, 2.0, 2, 8651
Release #364, 0.9142, 0.0, 0, 4038
Release #365, 0.7212, 0.0, 0, 9878
Release #366, 0.4856, 3.0, 3, 6815
Release #367, 0.4441, 0.0, 0, 5856
Release #368, 0.7847, 0.0, 0, 6462
Release #369, 0.4891, 2.0, 2, 3851
Release #370, 0.8953, 0.0, 0, 1346
Release #371, 0.5175, 2.0, 2, 2398
Release #372, 0.2915, 0.0, 0, 9075
Release #373, 0.8271, 0.0, 0, 2557
Release #374, 0.4214, 2.0, 2, 2447
Release #375, 0.5454, 0.0, 0, 5464
Release #376, 0.5639, 0.0, 0, 6212
Release #377, 0.2607, 0.0, 0, 7580
Release #378, 0.1698, 2.0, 2, 9494
Release #379, 0.5351, 0.0, 0, 9102
Release #380, 0.6962, 0.0, 0, 4395
Release #381, 0.4181, 2.0, 2, 6363
Release #382, 0.7093, 0.0, 0, 3539
Release #383, 0.6932, 0.0, 0, 3878
Release #384, 0.1857, 2.0, 2, 6892
Release #385, 0.8714, 0.0, 0, 9448
Release #386, 0.1675, 2.0, 2, 6791
Release #387, 0.9929, 0.0, 0, 3466
Release #388, 0.7037, 0.0, 0, 9263
Release #389, 0.949, 0.0, 0, 3121
Release #390, 0.3051, 2.0, 2, 2432
Release #391, 0.9145, 0.0, 0, 8413
Release #392, 0.3253, 2.0, 2, 9947
Release #393, 0.6878, 0.0, 0, 4655
Release #394, 0.3193, 2.0, 2, 4420
Release #395, 0.8406, 0.0, 0, 7463
Release #396, 0.4541, 2.0, 2, 5164
Release #397, 0.99, 0.0, 0, 3958
Release #398, 0.8501, 2.0, 2, 6733
Release #399, 0.6954, 0.0, 0, 7838
Release #400, 0.462, 0.0, 0, 8530
Release #401, 0.5896, 0.0, 0, 8224
Release #402, 0.9915, 0.0, 0, 311
Release #403, 0.9549, 0.0, 0, 6686
Release #404, 0.4374, 2.0, 2, 4601
Release #405, 0.6253, 0.0, 0, 8195
Release #406, 0.7327, 0.0, 0, 6184
Release #407, 0.8485, 0.0, 0, 4283
Release #408, 0.5048, 2.0, 2, 5758
Release #409, 0.6832, 0.0, 0, 9176
Release #410, 0.1795, 2.0, 2, 6329
Release #411, 0.9016, 0.0, 0, 8464
Release #412, 0.6547, 2.0, 2, 8151
Release #413, 0.8439, 0.0, 0, 8089
Release #414, 0.9865, 0.0, 0, 7461
Release #415, 0.7034, 2.0, 2, 1607
Release #416, 0.9399, 0.0, 0, 6048
Release #417, 0.1109, 2.0, 2, 3900
Release #418, 0.3979, 0.0, 0, 6328
Release #419, 0.9935, 0.0, 0, 2790
Release #420, 0.6434, 3.0, 3, 5013
Release #421, 0.0673, 3.0, 3, 4948
Release #422, 0.3133, 0.0, 0, 7913
Release #423, 0.9507, 0.0, 0, 4791
Release #424, 0.6833, 2.0, 2, 1192
Release #425, 0.5925, 0.0, 0, 5739
Release #426, 0.3673, 2.0, 2, 6710
Release #427, 0.6249, 0.0, 0, 4864
Release #428, 0.6509, 0.0, 0, 9096
Release #429, 0.4074, 2.0, 2, 6740
Release #430, 0.8285, 0.0, 0, 2972
Release #431, 0.7819, 3.0, 3, 3781
Release #432, 0.6987, 3.0, 3, 6661
Release #433, 0.6695, 0.0, 0, 5003
Release #434, 0.5247, 0.0, 0, 5638
Release #435, 0.833, 0.0, 0, 8120
Release #436, 0.6744, 0.0, 0, 4952
Release #437, 0.5489, 2.0, 2, 3037
Release #438, 0.7751, 0.0, 0, 6337
Release #439, 0.678, 0.0, 0, 3967
Release #440, 0.5341, 2.0, 2, 7187
Release #441, 0.8422, 0.0, 0, 1680
Release #442, 0.669, 0.0, 0, 6680
Release #443, 0.9155, 0.0, 0, 2943
Release #444, 0.6668, 0.0, 0, 4915
Release #445, 0.5665, 3.0, 3, 1742
Release #446, 0.5259, 3.0, 3, 4188
Release #447, 0.3981, 0.0, 0, 7006
Release #448, 0.902, 0.0, 0, 3715
Release #449, 0.525, 2.0, 2, 437
Release #450, 0.8315, 0.0, 0, 6268
Release #451, 0.5389, 3.0, 3, 6986
Release #452, 0.0992, 3.0, 3, 4182
Release #453, 0.7166, 0.0, 0, 3497
Release #454, 0.6878, 2.0, 2, 2104
Release #455, 0.727, 0.0, 0, 7111
Release #456, 0.9651, 0.0, 0, 5311
Release #457, 0.723, 3.0, 3, 5568
Release #458, 0.3513, 2.0, 2, 5316
Release #459, 0.9639, 0.0, 0, 6031
Release #460, 0.41, 3.0, 3, 4296
Release #461, 0.3959, 3.0, 3, 9055
Release #462, 0.6169, 0.0, 0, 6035
Release #463, 0.7389, 0.0, 0, 4658
Release #464, 0.8214, 0.0, 0, 5714
Release #465, 0.4135, 2.0, 2, 5904
Release #466, 0.3852, 0.0, 0, 9768
Release #467, 0.5866, 0.0, 0, 4551
Release #468, 0.5044, 0.0, 0, 8059
Release #469, 0.8877, 0.0, 0, 5931
Release #470, 0.4193, 0.0, 0, 3848
Release #471, 0.3225, 5.0, 5, 3979
Release #472, 0.2071, 5.0, 5, 9397
Release #473, 0.002, 4.0, 4, 7917
Release #474, 0.4152, 0.0, 0, 5839
Release #475, 0.572, 0.0, 0, 7718
Release #476, 0.156, 2.0, 2, 2412
Release #477, 0.3916, 0.0, 0, 6617
Release #478, 0.6942, 0.0, 0, 4079
Release #479, 0.6825, 0.0, 0, 5005
Release #480, 0.2964, 2.0, 2, 6734
Release #481, 0.9784, 0.0, 0, 911
Release #482, 0.6719, 0.0, 0, 1323
Release #483, 0.4082, 4.0, 4, 1382
Release #484, 0.1957, 4.0, 4, 3288
Release #485, 0.9958, 0.0, 0, 6121
Release #486, 0.3865, 2.0, 2, 5725
Release #487, 0.5754, 0.0, 0, 7787
Release #488, 0.6991, 0.0, 0, 4060
Release #489, 0.5886, 2.0, 2, 3626
Release #490, 0.9567, 0.0, 0, 5481
Release #491, 0.798, 0.0, 0, 3178
Release #492, 0.4794, 3.0, 3, 3217
Release #493, 0.3726, 3.0, 3, 1712
Release #494, 0.244, 0.0, 0, 7651
Release #495, 0.9152, 0.0, 0, 4228
Release #496, 0.3931, 0.0, 0, 8383
Release #497, 0.1242, 3.0, 3, 2030
Release #498, 0.0831, 2.0, 2, 7091
Release #499, 0.463, 0.0, 0, 6224
