Release point #, Memory Utilization, # of blocks searched before releasing, Counts made before release, Memory request size of release
Release #0, 0.8146, 0.0, 0, 5440
Release #1, 0.563, 3.0, 3, 3112
Release #2, 0.2623, 3.0, 3, 5629
Release #3, 0.7511, 0.0, 0, 4980
Release #4, 0.2653, 0.0, 0, 7800
Release #5, 0.8518, 0.0, 0, 5580
Release #6, 0.3304, 0.0, 0, 9342
Release #7, 0.4265, 0.0, 0, 7996
Release #8, 0.3225, 0.0, 0, 7501
Release #9, 0.6198, 0.0, 0, 6579
Release #10, 0.729, 0.0, 0, 6823
Release #11, 0.9739, 0.0, 0, 324
Release #12, 0.7555, 3.0, 3, 6944
Release #13, 0.2792, 3.0, 3, 8141
Release #14, 0.7343, 0.0, 0, 4351
Release #15, 0.943, 0.0, 0, 8112
Release #16, 0.6411, 0.0, 0, 4314
Release #17, 0.8308, 0.0, 0, 4751
Release #18, 0.3335, 2.0, 2, 2931
Release #19, 0.6038, 0.0, 0, 6251
Release #20, 0.8727, 0.0, 0, 8293
Release #21, 0.2721, 2.0, 2, 9438
Release #22, 0.7803, 0.0, 0, 6739
Release #23, 0.7548, 3.0, 3, 5746
Release #24, 0.5327, 3.0, 3, 4584
Release #25, 0.5405, 0.0, 0, 8019
Release #26, 0.2143, 2.0, 2, 3101
Release #27, 0.8073, 0.0, 0, 8384
Release #28, 0.2093, 2.0, 2, 5956
Release #29, 0.6347, 0.0, 0, 4978
Release #30, 0.6119, 2.0, 2, 6270
Release #31, 0.9093, 0.0, 0, 7065
Release #32, 0.6644, 3.0, 3, 3654
Release #33, 0.2619, 2.0, 2, 5461
Release #34, 0.5956, 0.0, 0, 5763
Release #35, 0.4407, 0.0, 0, 8370
Release #36, 0.057, 2.0, 2, 4047
Release #37, 0.4462, 0.0, 0, 7699
Release #38, 0.2866, 2.0, 2, 6839
Release #39, 0.7569, 0.0, 0, 5143
Release #40, 0.3786, 2.0, 2, 5508
Release #41, 0.7267, 0.0, 0, 6870
Release #42, 0.3765, 0.0, 0, 8193
Release #43, 0.0606, 2.0, 2, 4926
Release #44, 0.952, 0.0, 0, 8448
Release #45, 0.4157, 2.0, 2, 1543
Release #46, 0.7355, 0.0, 0, 6803
Release #47, 0.6369, 0.0, 0, 4483
Release #48, 0.4578, 2.0, 2, 4578
Release #49, 0.925, 0.0, 0, 2427
Release #50, 0.6672, 2.0, 2, 1797
Release #51, 0.4979, 0.0, 0, 5789
Release #52, 0.5472, 0.0, 0, 7467
Release #53, 0.7996, 0.0, 0, 9873
Release #54, 0.5877, 3.0, 3, 6517
Release #55, 0.2489, 3.0, 3, 9333
Release #56, 0.7516, 0.0, 0, 3985
Release #57, 0.9827, 0.0, 0, 2356
Release #58, 0.899, 2.0, 2, 5099
Release #59, 0.6925, 0.0, 0, 7745
Release #60, 0.416, 2.0, 2, 4052
Release #61, 0.6902, 0.0, 0, 3314
Release #62, 0.0643, 2.0, 2, 1954
Release #63, 0.7372, 0.0, 0, 9670
Release #64, 0.9773, 0.0, 0, 2843
Release #65, 0.3322, 2.0, 2, 3099
Release #66, 0.9283, 0.0, 0, 4393
Release #67, 0.3307, 3.0, 3, 4391
Release #68, 0.1809, 3.0, 3, 6313
Release #69, 0.8854, 0.0, 0, 6251
Release #70, 0.0968, 2.0, 2, 5815
Release #71, 0.8876, 0.0, 0, 4399
Release #72, 0.2139, 2.0, 2, 4242
Release #73, 0.7593, 0.0, 0, 5500
Release #74, 0.454, 3.0, 3, 5459
Release #75, 0.3456, 2.0, 2, 2621
Release #76, 0.3463, 0.0, 0, 8009
Release #77, 0.9632, 0.0, 0, 792
Release #78, 0.6964, 2.0, 2, 8044
Release #79, 0.4018, 0.0, 0, 6533
Release #80, 0.5238, 0.0, 0, 4820
Release #81, 0.7859, 0.0, 0, 4335
Release #82, 0.3313, 0.0, 0, 7246
Release #83, 0.8412, 0.0, 0, 8353
Release #84, 0.5496, 0.0, 0, 4990
Release #85, 0.5013, 0.0, 0, 5749
Release #86, 0.6821, 0.0, 0, 8778
Release #87, 0.6838, 0.0, 0, 5514
Release #88, 0.9774, 0.0, 0, 6666
